abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"ACtm","acetate transport, mitochondrial","ac[c] <==> ac[m]","Transport, Mitochondrial","","","",""
"ACtp","acetate transport, peroxisomal","ac[c] <==> ac[x]","Transport, Peroxisomal","","","",""
"ACtr","acetate transporter","ac[e] <==> ac[c]","Transport, Extracellular","","Ady2 (YCR010C) ","YCR010C","Ady2"
"ADA","Adenosine deaminase","[c] : adn + h + h2o --> ins + nh4","Nucleotide Salvage Pathway","3.5.4.4","Aah1 (YNL141W) ","YNL141W","Aah1"
"ADCL","4-aminobenzoate synthase","[c] : 4adcho --> 4abz + h + pyr","Folate Metabolism","","Pabs (YMR289W) ","YMR289W","Pabs"
"ADCS","4-amino-4-deoxychorismate synthase","[c] : chor + gln-L --> 4adcho + glu-L","Folate Metabolism","","Abz1 (YNR033W) ","YNR033W","Abz1"
"ADD","adenine deaminase","[c] : ade + h + h2o --> hxan + nh4","Nucleotide Salvage Pathway","3.5.4.2","Aah1 (YNL141W) ","YNL141W","Aah1"
"ADEt2","adenine transport in via proton symport","ade[e] + h[e] --> ade[c] + h[c]","Transport, Extracellular","","( Fcy2 (YER056C)  ) or ( Fcy21 (YER060W)  ) or ( Fcy22 (YER060W-A)  ) or ( Fcy23 (YGL186C)  )","( YER056C  or  YER060W  or  YER060W-A  or  YGL186C )","( Fcy2 ) or ( Fcy21 ) or ( Fcy22 ) or ( Fcy23 )"
"ADEtm","adenine reversible transport, mitochondria","ade[c] <==> ade[m]","Transport, Mitochondrial","","","",""
"ADHAPR_SC","acyldihydroxyacetonephosphate reductase, yeast-specific","[c] : (0.01) 1agly3p_SC + h + nadph --> (0.01) 1ag3p_SC + nadp","Phospholipid Biosynthesis","","Ayr1 (YIL124W) ","YIL124W","Ayr1"
"ADK1","adenylate kinase","[c] : amp + atp <==> (2) adp","Nucleotide Salvage Pathway","2.7.4.3","Adk1 (YDR226W) ","YDR226W","Adk1"
"ADK1m","adenylate kinase, mitochondrial","[m] : amp + atp <==> (2) adp","Nucleotide Salvage Pathway","2.7.4.3","Adk2-m (YER170W) ","YER170W","Adk2-m"
"ADK3","adentylate kinase (GTP)","[c] : amp + gtp <==> adp + gdp","Nucleotide Salvage Pathway","","Adk1 (YDR226W) ","YDR226W","Adk1"
"ADK3m","adentylate kinase (GTP)","[m] : amp + gtp <==> adp + gdp","Nucleotide Salvage Pathway","","Adk2-m (YER170W) ","YER170W","Adk2-m"
"ADK4","adentylate kinase (ITP)","[c] : amp + itp <==> adp + idp","Nucleotide Salvage Pathway","","Adk1 (YDR226W) ","YDR226W","Adk1"
"ADK4m","adentylate kinase (ITP), mitochondrial","[m] : amp + itp <==> adp + idp","Nucleotide Salvage Pathway","2.7.4.3","Adk2-m (YER170W) ","YER170W","Adk2-m"
"ADMDC","adenosylmethionine decarboxylase","[c] : amet + h --> ametam + co2","Methionine Metabolism","4.1.1.50","Spe2 (YOL052C) ","YOL052C","Spe2"
"ADNCYC","adenylate cyclase","[c] : atp --> camp + ppi","Purine and Pyrimidine Biosynthesis","4.6.1.1","Cyr1 (YJL005W) ","YJL005W","Cyr1"
"ADNK1","adenosine kinase","[c] : adn + atp --> adp + amp + h","Nucleotide Salvage Pathway","2.7.1.20","Ado1 (YJR105W) ","YJR105W","Ado1"
"ADNUC","adenosine hydrolase","[c] : adn + h2o --> ade + rib-D","Nucleotide Salvage Pathway","3.2.2.8","Urh1 (YDR400W) ","YDR400W","Urh1"
"ADNt2","adenosine transport in via proton symport","adn[e] + h[e] --> adn[c] + h[c]","Transport, Extracellular","","Fun26 (YAL022C) ","YAL022C","Fun26"
"ADPT","adenine phosphoribosyltransferase","[c] : ade + prpp --> amp + ppi","Nucleotide Salvage Pathway","2.4.2.7","( Apt1 (YML022W)  ) or ( Apt2 (YDR441C)  )","( YML022W  or  YDR441C )","( Apt1 ) or ( Apt2 )"
"ADSK","adenylyl-sulfate kinase","[c] : aps + atp --> adp + h + paps","Cysteine Metabolism","2.7.1.25","Met14 (YKL001C) ","YKL001C","Met14"
"ADSL1r","adenylsuccinate lyase","[c] : dcamp <==> amp + fum","Purine and Pyrimidine Biosynthesis","4.3.2.2","Ade13 (YLR359W) ","YLR359W","Ade13"
"ADSL2r","adenylosuccinate lyase","[c] : 25aics <==> aicar + fum","Purine and Pyrimidine Biosynthesis","4.3.2.2","Ade13 (YLR359W) ","YLR359W","Ade13"
"ADSS","adenylosuccinate synthase","[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi","Purine and Pyrimidine Biosynthesis","6.3.4.4","Ade12 (YNL220W) ","YNL220W","Ade12"
"AGAT_SC","1-Acyl-glycerol-3-phosphate acyltransferase, yeast-specific","[c] : (0.01) 1ag3p_SC + (0.02) dcacoa + (0.06) ddcacoa + (0.17) hdcoa + (0.09) ocdycacoa + (0.24) odecoa + (0.27) pmtcoa + (0.05) stcoa + (0.1) tdcoa --> coa + (0.01) pa_SC","Phospholipid Biosynthesis","2.3.1.51","( Slc1 (YDL052C)  ) or ( Unknown (UNKNOWN)  )","( YDL052C  or  UNKNOWN )","( Slc1 ) or ( Unknown )"
"AGPRim","N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial","[m] : acg5p + h + nadph --> acg5sa + nadp + pi","Arginine and Proline Metabolism","1.2.1.38","Arg5-m (YER069W) ","YER069W","Arg5-m"
"AGTi","Alanine glyoxylate aminotransferase (irreversible)","[c] : ala-L + glx --> gly + pyr","Glycine and Serine Metabolism","2.6.1.44","Agx1 (YFL030W) ","YFL030W","Agx1"
"AHCYStm","S-adenosyl-L-homocysteine reversible transport, mitochondrial","ahcys[c] <==> ahcys[m]","Transport, Mitochondrial","","","",""
"AHCi","adenosylhomocysteinase","[c] : ahcys + h2o --> adn + hcys-L","Methionine Metabolism","3.3.1.1","Sah1 (YER043C) ","YER043C","Sah1"
"AHMMPS","4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase","[c] : air + (2) h --> 4ahmmp + gcald + pi","Thiamine Metabolism","","","",""
"AHSERL","O-acetylhomoserine (thiol)-lyase","[c] : achms + ch4s --> ac + h + met-L","Methionine Metabolism","4.2.99.10","Met17 (YLR303W) ","YLR303W","Met17"
"AHSERL2","O-acetylhomoserine (thiol)-lyase","[c] : achms + h2s --> ac + h + hcys-L","Methionine Metabolism","4.2.99.8","Met17 (YLR303W) ","YLR303W","Met17"
"AICART","phosphoribosylaminoimidazolecarboxamide formyltransferase","[c] : 10fthf + aicar <==> fprica + thf","Purine and Pyrimidine Biosynthesis","2.1.2.3","( Ade16 (YLR028C)  ) or ( Ade17 (YMR120C)  )","( YLR028C  or  YMR120C )","( Ade16 ) or ( Ade17 )"
"AIRCr","phosphoribosylaminoimidazole carboxylase","[c] : air + co2 <==> 5aizc + h","Purine and Pyrimidine Biosynthesis","4.1.1.21","Ade2 (YOR128C) ","YOR128C","Ade2"
"AKGDam","oxoglutarate dehydrogenase (lipoamide)","[m] : akg + h + lpam <==> co2 + sdhlam","Citric Acid Cycle","1.2.4.2","( Kgd1-m (YIL125W)  and Kgd2-m (YDR148C)  and PdE3-m (YFL018C)  )","( YIL125W  and  YDR148C  and  YFL018C )","( Kgd1-m and Kgd2-m and PdE3-m )"
"AKGDbm","oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)","[m] : coa + sdhlam --> dhlam + succoa","Citric Acid Cycle","2.3.1.61","( Kgd1-m (YIL125W)  and Kgd2-m (YDR148C)  and PdE3-m (YFL018C)  )","( YIL125W  and  YDR148C  and  YFL018C )","( Kgd1-m and Kgd2-m and PdE3-m )"
"AKGMAL","alpha-ketoglutarate/malate transporter","akg[c] + mal-L[e] <==> akg[e] + mal-L[c]","Transport, Extracellular","","","",""
"AKGt2n","2-oxoglutarate nuclear transport via proton symport","akg[c] + h[c] <==> akg[n] + h[n]","Transport, Nuclear","","","",""
"AKGt2r","2-oxoglutarate reversible transport via symport","akg[e] + h[e] <==> akg[c] + h[c]","Transport, Extracellular","","","",""
"AKGtp","AKG transporter, peroxisome","akg[c] <==> akg[x]","Transport, Peroxisomal","","","",""
"AKP1","alkaline phosphatase (Dihydroneopterin)","[c] : ahdt + (3) h2o --> dhnpt + (2) h + (3) pi","Folate Metabolism","3.1.3.1","Pho8 (YDR481C) ","YDR481C","Pho8"
"ALASm","5-aminolevulinate synthase","[m] : gly + h + succoa --> 5aop + co2 + coa","Porphyrin and Chlorophyll Metabolism","2.3.1.37","Hem1-m (YDR232W) ","YDR232W","Hem1-m"
"ALATA_L","L-alanine transaminase","[c] : akg + ala-L <==> glu-L + pyr","Alanine and Aspartate Metabolism","2.6.1.2","Alt2 (YDR111C) ","YDR111C","Alt2"
"ALATA_Lm","L-alanine transaminase, mitochondrial","[m] : akg + ala-L <==> glu-L + pyr","Alanine and Aspartate Metabolism","2.6.1.2","Alt1-m (YLR089C) ","YLR089C","Alt1-m"
"ALATRS","Alanyl-tRNA synthetase","[c] : ala-L + atp + trnaala --> alatrna + amp + ppi","tRNA charging","6.1.1.7","Ala1 (YOR335C) ","YOR335C","Ala1"
"ALAt2r","L-alanine reversible transport via proton symport","ala-L[e] + h[e] <==> ala-L[c] + h[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Dip5 (YPL265W)  ) or ( Agp1 (YCL025C)  ) or ( Tat2 (YOL020W)  ) or ( Put4 (YOR348C)  )","( YKR039W  or  YPL265W  or  YCL025C  or  YOL020W  or  YOR348C )","( Gap1 ) or ( Dip5 ) or ( Agp1 ) or ( Tat2 ) or ( Put4 )"
"ALAtmi","Alanine transport from mitochondia to cytoplasm","ala-L[m] --> ala-L[c]","Transport, Mitochondrial","","","",""
"ALCD19y","alcohol dehydrogenase (glycerol, NADP)","[c] : glyald + h + nadph --> glyc + nadp","Glycerolipid Metabolism","","( Gre3 (YHR104W)  ) or ( Ypr1 (YDR368W)  )","( YHR104W  or  YDR368W )","( Gre3 ) or ( Ypr1 )"
"ALCD22xi","aldehyde dehydrogenase (2-methylbutanol, NAD)","[c] : 2mbald + h + nadh --> 2mbtoh + nad","Complex Alcohol Metabolism","","( Adh5 (YBR145W)  ) or ( Adh2 (YMR303C)  ) or ( Sfa1 (YDL168W)  ) or ( Adh4 (YGL256W)  ) or ( Adh1 (YOL086C)  )","( YBR145W  or  YMR303C  or  YDL168W  or  YGL256W  or  YOL086C )","( Adh5 ) or ( Adh2 ) or ( Sfa1 ) or ( Adh4 ) or ( Adh1 )"
"ALCD22xim","aldehyde dehydrogenase (2-methylbutanol, NAD), mitochondrial","[m] : 2mbald + h + nadh --> 2mbtoh + nad","Complex Alcohol Metabolism","","Adh3-m (YMR083W) ","YMR083W","Adh3-m"
"ALCD22yi","aldehyde dehydrogenase (2-methylbutanol, NADP)","[c] : 2mbald + h + nadph --> 2mbtoh + nadp","Complex Alcohol Metabolism","","( Ypr1 (YDR368W)  ) or ( Adh6 (YMR318C)  ) or ( Adh7 (YBR036C)  )","( YDR368W  or  YMR318C  or  YBR036C )","( Ypr1 ) or ( Adh6 ) or ( Adh7 )"
"ALCD23xi","aldehyde dehydrogenase (isobutyl alcohol, NAD)","[c] : 2mppal + h + nadh --> ibutoh + nad","Complex Alcohol Metabolism","","( Adh4 (YGL256W)  ) or ( Adh5 (YBR145W)  ) or ( Sfa1 (YDL168W)  ) or ( Adh1 (YOL086C)  ) or ( Adh2 (YMR303C)  )","( YGL256W  or  YBR145W  or  YDL168W  or  YOL086C  or  YMR303C )","( Adh4 ) or ( Adh5 ) or ( Sfa1 ) or ( Adh1 ) or ( Adh2 )"
"ALCD23xim","aldehyde dehydrogenase (isobutyl alcohol, NAD), mitochondrial","[m] : 2mppal + h + nadh --> ibutoh + nad","Complex Alcohol Metabolism","","Adh3-m (YMR083W) ","YMR083W","Adh3-m"
"ALCD23yi","aldehyde dehydrogenase (isobutyl alcohol, NADP)","[c] : 2mppal + h + nadph --> ibutoh + nadp","Complex Alcohol Metabolism","","( Adh7 (YBR036C)  ) or ( Adh6 (YMR318C)  )","( YBR036C  or  YMR318C )","( Adh7 ) or ( Adh6 )"
"ALCD24xi","aldehyde dehydrogenase (isoamyl alcohol, NAD)","[c] : 3mbald + h + nadh --> iamoh + nad","Complex Alcohol Metabolism","","( Sfa1 (YDL168W)  ) or ( Adh4 (YGL256W)  ) or ( Adh2 (YMR303C)  ) or ( Adh1 (YOL086C)  ) or ( Adh5 (YBR145W)  )","( YDL168W  or  YGL256W  or  YMR303C  or  YOL086C  or  YBR145W )","( Sfa1 ) or ( Adh4 ) or ( Adh2 ) or ( Adh1 ) or ( Adh5 )"
"ALCD24xim","aldehyde dehydrogenase (isoamyl alcohol, NAD), mitochondrial","[m] : 3mbald + h + nadh --> iamoh + nad","Complex Alcohol Metabolism","","Adh3-m (YMR083W) ","YMR083W","Adh3-m"
"ALCD24yi","aldehyde dehydrogenase (isoamyl alcohol, NADP)","[c] : 3mbald + h + nadph --> iamoh + nadp","Complex Alcohol Metabolism","","( Adh6 (YMR318C)  ) or ( Adh7 (YBR036C)  )","( YMR318C  or  YBR036C )","( Adh6 ) or ( Adh7 )"
"ALCD25xi","aldehyde dehydrogenase (2-phenylethanol, NAD)","[c] : h + nadh + pacald --> 2phetoh + nad","Complex Alcohol Metabolism","","( Adh4 (YGL256W)  ) or ( Adh2 (YMR303C)  ) or ( Sfa1 (YDL168W)  ) or ( Adh1 (YOL086C)  ) or ( Adh5 (YBR145W)  )","( YGL256W  or  YMR303C  or  YDL168W  or  YOL086C  or  YBR145W )","( Adh4 ) or ( Adh2 ) or ( Sfa1 ) or ( Adh1 ) or ( Adh5 )"
"ALCD25xim","aldehyde dehydrogenase (2-phenylethanol, NAD), mitochondrial","[m] : h + nadh + pacald --> 2phetoh + nad","Complex Alcohol Metabolism","","Adh3-m (YMR083W) ","YMR083W","Adh3-m"
"ALCD25yi","aldehyde dehydrogenase (2-phenylethanol, NADP)","[c] : h + nadph + pacald --> 2phetoh + nadp","Complex Alcohol Metabolism","","( Adh6 (YMR318C)  ) or ( Adh7 (YBR036C)  )","( YMR318C  or  YBR036C )","( Adh6 ) or ( Adh7 )"
"ALCD26xi","aldehyde dehydrogenase (tryptophol, NAD)","[c] : h + id3acald + nadh --> ind3eth + nad","Complex Alcohol Metabolism","","( Adh4 (YGL256W)  ) or ( Sfa1 (YDL168W)  ) or ( Adh2 (YMR303C)  ) or ( Adh5 (YBR145W)  ) or ( Adh1 (YOL086C)  )","( YGL256W  or  YDL168W  or  YMR303C  or  YBR145W  or  YOL086C )","( Adh4 ) or ( Sfa1 ) or ( Adh2 ) or ( Adh5 ) or ( Adh1 )"
"ALCD26xim","aldehyde dehydrogenase (tryptophol, NAD), mitochondrial","[m] : h + id3acald + nadh --> ind3eth + nad","Complex Alcohol Metabolism","","Adh3-m (YMR083W) ","YMR083W","Adh3-m"
"ALCD2if","alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde)","[c] : etoh + nad --> acald + h + nadh","Pyruvate Metabolism","1.1.1.1","Adh2 (YMR303C) ","YMR303C","Adh2"
"ALCD2ir","alcohol dehydrogenase, reverse rxn (acetaldehyde -> ethanol)","[c] : acald + h + nadh --> etoh + nad","Pyruvate Metabolism","1.1.1.1","( Adh1 (YOL086C)  ) or ( Adh4 (YGL256W)  ) or ( Adh5 (YBR145W)  )","( YOL086C  or  YGL256W  or  YBR145W )","( Adh1 ) or ( Adh4 ) or ( Adh5 )"
"ALCD2irm","alcohol dehydrogenase, reverse rxn (acetaldehyde -> ethanol), mitochondrial","[m] : acald + h + nadh --> etoh + nad","Pyruvate Metabolism","1.1.1.1","Adh3-m (YMR083W) ","YMR083W","Adh3-m"
"ALCD2x","alcohol dehydrogenase (ethanol)","[c] : etoh + nad <==> acald + h + nadh","Pyruvate Metabolism","1.1.1.1","Sfa1 (YDL168W) ","YDL168W","Sfa1"
"ALDD19x","aldehyde dehydrogenase (phenylacetaldehyde, NAD)","[c] : h2o + nad + pacald --> (2) h + nadh + pac","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.2.1.39","( Ald2 (YMR170C)  ) or ( Ald3 (YMR169C)  )","( YMR170C  or  YMR169C )","( Ald2 ) or ( Ald3 )"
"ALDD20xm","aldehyde dehydrogenase (indole-3-acetaldehyde, NAD), mitochondrial","[m] : h2o + id3acald + nad --> (2) h + ind3ac + nadh","Tyrosine, Tryptophan, and Phenylalanine Metabolism","","Ald4-m (YOR374W) ","YOR374W","Ald4-m"
"ALDD20y","aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)","[c] : h2o + id3acald + nadp --> (2) h + ind3ac + nadph","Tyrosine, Tryptophan, and Phenylalanine Metabolism","","Ald6 (YPL061W) ","YPL061W","Ald6"
"ALDD20ym","aldehyde dehydrogenase (indole-3-acetaldehyde, NADP), mitochondrial","[m] : h2o + id3acald + nadp --> (2) h + ind3ac + nadph","Tyrosine, Tryptophan, and Phenylalanine Metabolism","","( Ald4-m (YOR374W)  ) or ( Ald5-m (YER073W)  )","( YOR374W  or  YER073W )","( Ald4-m ) or ( Ald5-m )"
"ALDD22x","aldehyde dehydrogenase (3-aminopropanal, NAD)","[c] : aproa + h2o + nad --> ala-B + (2) h + nadh","Pantothenate and CoA Biosynthesis","1.2.1.39","( Ald2 (YMR170C)  ) or ( Ald3 (YMR169C)  )","( YMR170C  or  YMR169C )","( Ald2 ) or ( Ald3 )"
"ALDD2xm","aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial","[m] : acald + h2o + nad --> ac + (2) h + nadh","Pyruvate Metabolism","1.2.1.3","Ald4-m (YOR374W) ","YOR374W","Ald4-m"
"ALDD2y","aldehyde dehydrogenase (acetaldehyde, NADP)","[c] : acald + h2o + nadp --> ac + (2) h + nadph","Pyruvate Metabolism","1.2.1.4","Ald6 (YPL061W) ","YPL061W","Ald6"
"ALDD2ym","aldehyde dehydrogenase (acetylaldehyde, NADP), mitochondrial","[m] : acald + h2o + nadp --> ac + (2) h + nadph","Pyruvate Metabolism","1.2.1.4","( Ald5-m (YER073W)  ) or ( Ald4-m (YOR374W)  )","( YER073W  or  YOR374W )","( Ald5-m ) or ( Ald4-m )"
"ALLTAHr","Allantoate amidinohydrolase, reversible","[c] : alltt + h2o <==> urdglyc + urea","Histidine Metabolism","3.5.3.4","Dal2 (YIR029W) ","YIR029W","Dal2"
"ALLTNr","allantoinase, reversible reaction","[c] : alltn + h2o <==> alltt + h","Histidine Metabolism","3.5.2.5","Dal1 (YIR027C) ","YIR027C","Dal1"
"ALLTNti","allantoin irreversible uniport","alltn[e] --> alltn[c]","Transport, Extracellular","","Dal4 (YIR028W) ","YIR028W","Dal4"
"ALLTTti","allantoate irreversible uniport","alltt[e] --> alltt[c]","Transport, Extracellular","","Dal5 (YJR152W) ","YJR152W","Dal5"
"ALPHNH","allophanate hydrolase","[c] : allphn + (3) h + h2o --> (2) co2 + (2) nh4","Nitrogen Metabolism","3.5.1.54","Dur1 (YBR208C) ","YBR208C","Dur1"
"AMAOTr","adenosylmethionine-8-amino-7-oxononanoate transaminase","[c] : 8aonn + amet <==> amob + dann","Pantothenate and CoA Biosynthesis","2.6.1.62","Bio3 (YNR058W) ","YNR058W","Bio3"
"AMETt2","S-adenosyl-L-methionine transport in via proton symport","amet[e] + h[e] --> amet[c] + h[c]","Transport, Extracellular","","Sam3 (YPL274W) ","YPL274W","Sam3"
"AMETtm","S-Adenosyl-L-methionine reversible transport, mitochondrial","amet[c] <==> amet[m]","Transport, Mitochondrial","","Pet8-m (YNL003C) ","YNL003C","Pet8-m"
"AMID","amidase","[c] : 4gudbd + h2o --> 4gudbutn + nh4","Arginine and Proline Metabolism","3.5.1.4","( Amd4 (YMR293C)  ) or ( Amd2 (YDR242W)  )","( YMR293C  or  YDR242W )","( Amd4 ) or ( Amd2 )"
"AMID2","amidase","[c] : h2o + pad --> nh4 + pac","Tyrosine, Tryptophan, and Phenylalanine Metabolism","3.5.1.4","Amd2 (YDR242W) ","YDR242W","Amd2"
"AMID3","amidase","[c] : h2o + iad --> ind3ac + nh4","Tyrosine, Tryptophan, and Phenylalanine Metabolism","3.5.1.4","Amd2 (YDR242W) ","YDR242W","Amd2"
"AMPDA","Adenosine monophosphate deaminase","[c] : amp + h + h2o --> imp + nh4","Purine and Pyrimidine Biosynthesis","","Amd1 (YML035C) ","YML035C","Amd1"
"AMPN","AMP nucleosidase","[c] : amp + h2o --> ade + r5p","Nucleotide Salvage Pathway","3.2.2.4","( Amd1 (YML035C)  ) or ( Amd5 (YBR284W)  ) or ( Amd3 (YJL070C)  )","( YML035C  or  YBR284W  or  YJL070C )","( Amd1 ) or ( Amd5 ) or ( Amd3 )"
"AMPtn","AMP transport via diffusion (cytosol to nucleus)","amp[n] <==> amp[c]","Transport, Nuclear","","","",""
"ANPRT","anthranilate phosphoribosyltransferase","[c] : anth + prpp --> ppi + pran","Tyrosine, Tryptophan, and Phenylalanine Metabolism","2.4.2.18","Trp4 (YDR354W) ","YDR354W","Trp4"
"ANS","anthranilate synthase","[c] : chor + gln-L --> anth + glu-L + h + pyr","Glutamine Metabolism","4.1.3.27","( Trp2 (YER090W)  and Trp3 (YKL211C)  )","( YER090W  and  YKL211C )","( Trp2 and Trp3 )"
"AOBUTDs","L-2-amino-3-oxobutanoate decarboxylation (spontaneous)","[c] : 2aobut + h --> aact + co2","Threonine and Lysine Metabolism","","","",""
"AP4AHr","Ap4A hydrolase, reversible","[c] : ap4a + h2o <==> (2) adp + (2) h","Purine and Pyrimidine Biosynthesis","3.6.1.41","Hnt2 (YDR305C) ","YDR305C","Hnt2"
"APRTO2","N-acetylputrescine: oxygen oxireductase (deaminating)","[c] : aprut + h2o + o2 --> h2o2 + n4abutn + nh4","Other Amino Acid Metabolism","1.4.3.4","","",""
"ARAB-Dt","D-arabinose reversible transport","arab-D[e] <==> arab-D[c]","Transport, Extracellular","","","",""
"ARAB-Lt","L-arabinoase extracellular transport","arab-L[e] <==> arab-L[c]","Transport, Extracellular","","","",""
"ARAB14LO","D-arabinono-1,4-lactone oxidase","[c] : Dara14lac + o2 <==> ertascb-D + h2o2","Arabinose Metabolism","","Alo1-m (YML086C) ","YML086C","Alo1-m"
"ARAB1D2","D-arabinose 1-dehydrogenase (NADP)","[c] : arab-D + nadp --> Dara14lac + h + nadph","Arabinose Metabolism","1.1.1.117","Ara1 (YBR149W) ","YBR149W","Ara1"
"ARABR","arabinose reductase","[c] : arab-L + h + nadph --> abt + nadp","Arabinose Metabolism","1.1.1.21","Gre3 (YHR104W) ","YHR104W","Gre3"
"ARGN","arginase","[c] : arg-L + h2o --> orn + urea","Arginine and Proline Metabolism","3.5.3.1","Car1 (YPL111W) ","YPL111W","Car1"
"ARGSL","argininosuccinate lyase","[c] : argsuc <==> arg-L + fum","Arginine and Proline Metabolism","4.3.2.1","Arg4 (YHR018C) ","YHR018C","Arg4"
"ARGSSr","argininosuccinate synthase, reversible","[c] : asp-L + atp + citr-L <==> amp + argsuc + h + ppi","Arginine and Proline Metabolism","6.3.4.5","Arg1 (YOL058W) ","YOL058W","Arg1"
"ARGTRS","Arginyl-tRNA synthetase","[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi","tRNA charging","6.1.1.19","Msr2 (YDR341C) ","YDR341C","Msr2"
"ARGTRSm","Arginyl-tRNA synthetase, mitochondrial","[m] : arg-L + atp + trnaarg --> amp + argtrna + ppi","tRNA charging","6.1.1.19","Msr1-m (YHR091C) ","YHR091C","Msr1-m"
"ARGt2m","arginine mitochondrial transport via proton symport","arg-L[c] + h[c] <==> arg-L[m] + h[m]","Transport, Mitochondrial","","","",""
"ARGt2r","L-arganine reversible transport via proton symport","arg-L[e] + h[e] <==> arg-L[c] + h[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Can1 (YEL063C)  ) or ( Alp1 (YNL270C)  )","( YKR039W  or  YEL063C  or  YNL270C )","( Gap1 ) or ( Can1 ) or ( Alp1 )"
"ARGt6","L-arginine transport in via proton antiport (vacuolar)","arg-L[c] + h[v] --> arg-L[v] + h[c]","Transport, Vacuolar","","Vba2-v (YBR293W) ","YBR293W","Vba2-v"
"ARMT","hnRNP arginine N-methyltransferase","[c] : amet + his-L --> NPmehis + ahcys + h","Histidine Metabolism","","Hmt1 (YBR034C) ","YBR034C","Hmt1"
"ASADi","aspartate-semialdehyde dehydrogenase, irreversible","[c] : 4pasp + h + nadph --> aspsa + nadp + pi","Alanine and Aspartate Metabolism","1.2.1.11","Hom2 (YDR158W) ","YDR158W","Hom2"
"ASNN","L-asparaginase","[c] : asn-L + h2o --> asp-L + nh4","Asparagine metabolism","3.5.1.1","Asp1 (YDR321W) ","YDR321W","Asp1"
"ASNNe","L-asparaginase, extracellular","[e] : asn-L + h2o --> asp-L + nh4","Asparagine metabolism","3.5.1.1","( Asp34-e (YLR160C)  ) or ( Asp33-e (YLR158C)  ) or ( Asp32-e (YLR157C)  ) or ( Asp31-e (YLR155C)  )","( YLR160C  or  YLR158C  or  YLR157C  or  YLR155C )","( Asp34-e ) or ( Asp33-e ) or ( Asp32-e ) or ( Asp31-e )"
"ASNS1","asparagine synthase (glutamine-hydrolysing)","[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi","Alanine and Aspartate Metabolism","6.3.5.4","( Asn3 (YML096W)  ) or ( Asn2 (YGR124W)  ) or ( Asn1 (YPR145W)  )","( YML096W  or  YGR124W  or  YPR145W )","( Asn3 ) or ( Asn2 ) or ( Asn1 )"
"ASNTRS","Asparaginyl-tRNA synthetase","[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi","tRNA charging","6.1.1.22","Ded81 (YHR019C) ","YHR019C","Ded81"
"ASNTRSm","asparaginyl-tRNA synthetase, miotchondrial","[m] : asn-L + atp + trnaasn --> amp + asntrna + ppi","tRNA charging","6.1.1.22","Ded82-m (YCR024C) ","YCR024C","Ded82-m"
"ASNt2m","asparagine mitochondrial transport via proton transport","asn-L[c] + h[c] <==> asn-L[m] + h[m]","Transport, Mitochondrial","","","",""
"ASNt2r","L-asparagine reversible transport via proton symport","asn-L[e] + h[e] <==> asn-L[c] + h[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Agp1 (YCL025C)  ) or ( Gnp1 (YDR508C)  ) or ( Dip5 (YPL265W)  )","( YKR039W  or  YCL025C  or  YDR508C  or  YPL265W )","( Gap1 ) or ( Agp1 ) or ( Gnp1 ) or ( Dip5 )"
