FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
Glucose 1-dehydrogenase (EC 1.1.1.47)	peg.284|peg.394	"D-gluconate_and_ketogluconates_metabolism|Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes"	Carbohydrates	rxn01108|rxn01109
"Oligo-1,6-glucosidase (EC 3.2.1.10)"	peg.285	Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn01259|rxn05746
"Zinc ABC transporter, periplasmic-binding protein ZnuA"	peg.286			rxn05150
"Zinc ABC transporter, ATP-binding protein ZnuC"	peg.287			rxn05150
"Zinc ABC transporter, inner membrane permease protein ZnuB"	peg.288			rxn05150
Tellurium resistance protein TerD	peg.290|peg.291|peg.292			
TerC-like integral membrane protein	peg.293			
FIG013452: putative tellurium resistance protein	peg.294			
Toxic anion resistance protein TelA	peg.295			
Niacin transporter NiaP	peg.296	NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
"multidrug resistance protein, putative"	peg.297			
transcription regulator	peg.298			
"Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)"	peg.299	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05181|rxn05570|rxn05192|rxn05193|rxn05504|rxn10073|rxn10862|rxn10072
"Glycine betaine ABC transport system, permease protein OpuAB"	peg.300	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05181|rxn05570|rxn05192|rxn05193|rxn05504|rxn10073|rxn10862|rxn10072
"Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC"	peg.301	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05181|rxn05570|rxn05192|rxn05193|rxn05504|rxn10073|rxn10862|rxn10072
amidohydrolase	peg.302			
Transporter	peg.303|peg.407|peg.1399			
alternate gene name: amyA	peg.305			
L-lactate dehydrogenase (EC 1.1.1.27)	peg.306	Fermentations:_Lactate|Fermentations:_Mixed_acid	Carbohydrates	rxn00499
L-lactate permease	peg.307|peg.3425	Lactate_utilization	Carbohydrates	rxn05470|rxn05602
"resistance to puromycin, nerfloxacin, tosufloxacin, but not CCCP"	peg.308			rxn05641
"Transporter, LysE family"	peg.310|peg.1086			rxn05305
"DNA for 25-36 DEGREE region containing the AMYE-SRFA region, complete CDS"	peg.311|peg.367|peg.369|peg.397|peg.398			
NAD synthetase (EC 6.3.1.5)	peg.314	NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00138
tunicamycin resistance	peg.315			
Shikimate kinase I (EC 2.7.1.71)	peg.316	Chorismate_Synthesis|Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	Amino Acids and Derivatives	rxn01739
Ubiquinone/menaquinone biosynthesis methyltransferase UbiE/COQ5 (EC 2.1.1.-)	peg.317|peg.2279	Menaquinone_Biosynthesis_via_Futalosine|Menaquinone_and_Phylloquinone_Biosynthesis|Ubiquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05266
"transcriptional regulator, LysR family"	peg.318|peg.1416|peg.2665|peg.2943|peg.3297|peg.3623|peg.3893|peg.4073			
cephalosporin C deacetylase	peg.319			rxn02196
Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	peg.321|peg.3290	"Proline,_4-hydroxyproline_uptake_and_utilization|Respiratory_dehydrogenases_1"	Amino Acids and Derivatives|Respiration	rxn00929|rxn09188
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	peg.322|peg.3784	"Arginine_and_Ornithine_Degradation|Proline,_4-hydroxyproline_uptake_and_utilization"	Amino Acids and Derivatives	rxn00503|rxn03071|rxn03424|rxn00183
Proline/sodium symporter PutP (TC 2.A.21.2.1)	peg.323	"Proline,_4-hydroxyproline_uptake_and_utilization"	Amino Acids and Derivatives	rxn05221
Propionate/sodium symporter	peg.323			rxn05221
Regulator of polyketide synthase expression	peg.324|peg.3195			
DUF1980 domain-containing protein	peg.325			
aromatic hydrocarbon catabolism protein	peg.327			
Thioredoxin reductase (EC 1.8.1.9)	peg.328|peg.3217|peg.3485	"Glycine_reductase,_sarcosine_reductase_and_betaine_reductase|Wyeosine-MimG_Biosynthesis|pyrimidine_conversions"	Protein Metabolism|RNA Metabolism|Nucleosides and Nucleotides	rxn05289
Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	peg.329|peg.1563	Coenzyme_B12_biosynthesis|Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02287|rxn02264
Uroporphyrinogen-III synthase (EC 4.2.1.75)	peg.329|peg.2817	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02287|rxn02264
Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)	peg.330			rxn00569|rxn00568
Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)	peg.331|peg.333			rxn00569|rxn00568
Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	peg.332			rxn00569|rxn00568
Nitrate/nitrite transporter	peg.334|peg.3739			rxn05626|rxn05627|rxn05625
GTP cyclohydrolase I (EC 3.5.4.16) type 2	peg.335	Folate_Biosynthesis|Methanopterin_biosynthesis2|Pterin_metabolism|Pterin_metabolism_3|Queuosine-Archaeosine_Biosynthesis|tRNA_modification_Archaea_Henri	"Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	rxn00299
"cell surface protein, ErfK family"	peg.336			
COG0523: Putative GTPases (G3E family)	peg.337			
"amino acid ABC transporter, permease protein"	peg.338|peg.361|peg.2401|peg.3954			rxn05237|rxn05304
"Amino acid ABC transporter, periplasmic amino acid-binding protein"	peg.339|peg.362			
6-phospho-beta-glucosidase (EC 3.2.1.86)	peg.342|peg.3861|peg.3931|peg.4017	Beta-Glucoside_Metabolism	Carbohydrates	rxn09978|rxn03481|rxn03482|rxn00222|rxn09979|rxn09992|rxn00608|rxn08025
Beta-glucosidase (EC 3.2.1.21)	peg.342|peg.584|peg.3931	Beta-Glucoside_Metabolism|Fructooligosaccharides(FOS)_and_Raffinose_Utilization|Sucrose_Metabolism	Carbohydrates	rxn09978|rxn00222|rxn09979
inhibition of the DNA degrading activity of NucA (competence)	peg.343			
competence	peg.344			
methyl-accepting chemotaxis protein	peg.345|peg.1038|peg.1864|peg.3126|peg.3128|peg.3375			
6-phospho-3-hexuloisomerase	peg.346	Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Pentose_phosphate_pathway	Carbohydrates	rxn03644
D-arabino-3-hexulose 6-phosphate formaldehyde lyase	peg.347	Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Pentose_phosphate_pathway	Carbohydrates	rxn03643
"Transcriptional regulator HxlR, formaldehyde assimilation"	peg.348	Formaldehyde_assimilation:_Ribulose_monophosphate_pathway	Carbohydrates	
surfactin production and competence	peg.349|peg.350|peg.352|peg.353			
assembly link between other regulatory components of the competence signal transduction pathway	peg.351			
regulation of genetic competence	peg.351			
"Transcriptional regulator, GntR family"	peg.357|peg.524|peg.537|peg.570|peg.585|peg.948|peg.1087|peg.1088|peg.3262			
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	peg.358	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	
"membrane protein, putative"	peg.359|peg.448|peg.528|peg.569|peg.843|peg.1096|peg.1112|peg.1227|peg.1241|peg.1354|peg.1373|peg.1878|peg.2209|peg.2505|peg.2515|peg.2574|peg.2646|peg.3119|peg.3352|peg.3737|peg.3759|peg.3769|peg.3889|peg.4003|peg.4079|peg.4100			
ATP-binding protein	peg.360|peg.2400			
"Transcriptional regulator, LysR family"	peg.363			
Hydroxyaromatic non-oxidative decarboxylase protein B (EC 4.1.1.-)	peg.364	Hydroxyaromatic_decarboxylase_family	Metabolism of Aromatic Compounds	rxn03393
Hydroxyaromatic non-oxidative decarboxylase protein C (EC 4.1.1.-)	peg.365	Hydroxyaromatic_decarboxylase_family	Metabolism of Aromatic Compounds	
Hydroxyaromatic non-oxidative decarboxylase protein D (EC 4.1.1.-)	peg.366	Hydroxyaromatic_decarboxylase_family	Metabolism of Aromatic Compounds	
Di-/tripeptide transporter	peg.368			
Spore germination protein GerKA	peg.371|peg.779			
Spore germination protein GerKC	peg.372			
Spore germination protein GerKB	peg.373			
"ABC transporter, ATP-binding protein"	peg.374|peg.449|peg.742|peg.831|peg.832|peg.907|peg.908|peg.989|peg.1438|peg.1439|peg.1445|peg.3004|peg.3048|peg.3334|peg.3415|peg.3745|peg.3871|peg.4068			rxn05219|rxn05183
"ABC transporter, permease protein"	peg.375|peg.450|peg.3016|peg.3044			rxn05219|rxn05183
"CSF stimulates competence gene expression (srfA) at low concentrations, inhibits competence gene expression at high concentrations, and stimulates the ability of cells at low cell density to sporulate at high concentrations"	peg.379			
Aspartokinase (EC 2.7.2.4)	peg.380|peg.1679|peg.2850	Lysine_Biosynthesis_DAP_Pathway|Threonine_and_Homoserine_Biosynthesis	Amino Acids and Derivatives	rxn00337
Iron compound ABC uptake transporter permease protein	peg.381|peg.382	"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives|Iron_acquisition_in_Streptococcus"	Virulence	rxn05555|rxn05195
Iron compound ABC uptake transporter ATP-binding protein	peg.383	"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives|Hemin_transport_system|Iron_acquisition_in_Streptococcus"	Virulence	rxn05555|rxn05195
Iron compound ABC uptake transporter substrate-binding protein	peg.384	"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives|Iron_acquisition_in_Streptococcus"	Virulence	rxn05555|rxn05195
multidrug resistance protein	peg.385|peg.1098|peg.1685|peg.1686|peg.3116			
"transcriptional regulator, TetR family"	peg.386|peg.1015|peg.2720|peg.3309|peg.3454|peg.4005			
Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)	peg.387			rxn03976
lin0150	peg.388			
"Transcriptional regulator, ArsR family"	peg.389|peg.1916			
Transcriptional regulator GabR of GABA utilization (GntR family with aminotransferase-like domain)	peg.390			
Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	peg.391	Putrescine_utilization_pathways	Amino Acids and Derivatives	rxn01204
Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16)	peg.392			rxn00509
glucose uptake protein	peg.393			rxn05573
Copper resistance protein D	peg.396			rxn05528
"PTS system, mannitol-specific IIA component (EC 2.7.1.69)"	peg.399	Mannitol_Utilization	Carbohydrates	rxn05617
"PTS system, mannitol-specific IIB component (EC 2.7.1.69)"	peg.399	Mannitol_Utilization	Carbohydrates	rxn05617
"PTS system, mannitol-specific IIC component (EC 2.7.1.69)"	peg.399	Mannitol_Utilization	Carbohydrates	rxn05617
Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	peg.400	Hexitol_degradation|Mannitol_Utilization	Carbohydrates	rxn00546
D-malic enzyme (EC 1.1.1.83)	peg.401	"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"	Carbohydrates	rxn00160|rxn01285|rxn04143|rxn01847
Tartrate decarboxylase (EC 4.1.1.73)	peg.401	Glycerate_metabolism	Carbohydrates	rxn00160|rxn01285|rxn04143|rxn01847
Tartrate dehydrogenase (EC 1.1.1.93)	peg.401			rxn00160|rxn01285|rxn04143|rxn01847
Signal peptidase I (EC 3.4.21.89)	peg.402|peg.1049|peg.1443|peg.2335	Signal_peptidase	Protein Metabolism	
Hydrolase (HAD superfamily)	peg.405|peg.1129|peg.3960			
Lactam utilization protein LAMB	peg.406			
"Protein c14orf159 homolog, mitochondrial precursor"	peg.408			
Allophanate hydrolase subunit 1 (EC 3.5.1.54)	peg.409			rxn00002
Allophanate hydrolase subunit 2 (EC 3.5.1.54)	peg.409			rxn00002
HTH-type transcriptional regulator kipR (Kip operon repressor protein)	peg.410			
"lipase/acylhydrolase, putative"	peg.411			
Antibiotic biosynthesis monooxygenase	peg.413			
Penicillin-binding protein 3	peg.414			
"Oxidoreductase, aldo/keto reductase family"	peg.415			
"Mannitol operon activator, BglG family"	peg.416	Mannitol_Utilization	Carbohydrates	
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	peg.417|peg.1027|peg.1036|peg.1720|peg.1829|peg.2859	Biotin_biosynthesis|Unsaturated_Fatty_Acid_Metabolism|n-Phenylalkanoic_acid_degradation	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Fatty Acids and Lipids|Metabolism of Aromatic Compounds"	rxn05252|rxn09449|rxn05247|rxn05248|rxn05249|rxn05251|rxn05736|rxn00947|rxn09448|rxn05250|rxn00988|rxn09450
YDAC protein	peg.418			
"oxidoreductase, short chain dehydrogenase/reductase family"	peg.419|peg.945|peg.1040			
D-lyxose isomerase (EC 5.3.1.15)	peg.420			rxn01386
Ribosomal-protein-L7p-serine acetyltransferase	peg.421	Ribosome_biogenesis_bacterial	Protein Metabolism	
General stress protein 26	peg.422			
"ABC-type sugar transport systems, permease components"	peg.423			
transcriptional regulator (Lrp/AsnC family)	peg.425			
DNA topoisomerase III (EC 5.99.1.2)	peg.426	"DNA_topoisomerases,_Type_I,_ATP-independent"	DNA Metabolism	
GGDEF domain protein	peg.428|peg.912			
"glycosyl transferase, group 2 family protein"	peg.430|peg.2151			
Nudix hydrolase family protein	peg.433			
"Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)"	peg.434	"Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate"	Carbohydrates	rxn00152
Manganese transport protein MntH	peg.436			rxn05618
Protein ecsC	peg.439			
general stress protein	peg.440|peg.2979|peg.2980|peg.3848			
Mn-containing catalase	peg.443|peg.1250			
"TRAP-type C4-dicarboxylate transport system, periplasmic component"	peg.444			rxn05654|rxn05603|rxn05561|rxn05605
Two-component sensor histidine kinase	peg.445|peg.1355|peg.1923			
Transcriptional regulatory protein dcuR	peg.446			
C4-dicarboxylate transport protein	peg.447			rxn05654|rxn05603|rxn05561|rxn05605
"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)"	peg.452|peg.3287|peg.3724	Acetyl-CoA_fermentation_to_Butyrate|Anaerobic_respiratory_reductases|Butanol_Biosynthesis|Isoleucine_degradation	Carbohydrates|Respiration|Amino Acids and Derivatives	rxn00868|rxn10011|rxn10013|rxn05732|rxn10014|rxn10012|rxn10010
cation efflux family protein	peg.454			
Thioredoxin	peg.455|peg.551|peg.2152|peg.2853|peg.3282	"Glycine_reductase,_sarcosine_reductase_and_betaine_reductase"	Protein Metabolism	
D-alanine--D-alanine ligase (EC 6.3.2.4)	peg.456			rxn00851
"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D- alanyl ligase (EC 6.3.2.10)"	peg.457	Methicillin_resistance_in_Staphylococci	Virulence	rxn03164
Cold-shock DEAD-box protein A	peg.458	"ATP-dependent_RNA_helicases,_bacterial"	RNA Metabolism	
putative membrane protein	peg.461|peg.540|peg.823|peg.909|peg.1215|peg.1876|peg.2289|peg.2918|peg.3105|peg.3154|peg.3524			
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	peg.462	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn06023
outer membrane lipoprotein receptor	peg.463			
Alanine racemase (EC 5.1.1.1)	peg.464	Alanine_biosynthesis|Pyruvate_Alanine_Serine_Interconversions	Amino Acids and Derivatives|Carbohydrates	rxn00283
MazF: sequence-specific endoribonuclease that cleaves mRNA to inhibit protein synthesis	peg.466			
"RsbR, positive regulator of sigma-B"	peg.467|peg.718|peg.1322			
"RsbS, negative regulator of sigma-B"	peg.468			
anti-sigma B factor RsbT	peg.469			
"Serine phosphatase RsbU, regulator of sigma subunit"	peg.470|peg.3417			
anti sigma b factor antagonist RsbV	peg.471|peg.2352			
anti-sigma F factor antagonist (spoIIAA-2)	peg.471|peg.2352			
Serine-protein kinase rsbW (EC 2.7.11.1)	peg.472			
RNA polymerase sigma factor SigB	peg.473	"Biofilm_formation_in_Staphylococcus|Methicillin_resistance_in_Staphylococci|Transcription_initiation,_bacterial_sigma_factors"	Regulation and Cell signaling|Virulence|RNA Metabolism	
Phosphoserine phosphatase rsbX (EC 3.1.3.3)	peg.474			rxn02046|rxn00420
"Transcriptional regulator, MarR family"	peg.477|peg.527|peg.529|peg.1051|peg.1336|peg.1369|peg.1378|peg.1958|peg.3374|peg.3511|peg.3514|peg.4060			
Transcription accessory protein (S1 RNA-binding domain)	peg.478			
Putative metallopeptidase (Zinc) SprT family	peg.479			
Integrase	peg.480			
YDCM protein	peg.481			
"transcriptional regulator, Cro/CI family"	peg.482			
regulation of the levansucrase gene (sacB)	peg.483			
YDCP protein	peg.485			
FtsK/SpoIIIE family protein	peg.486			
"Transcriptional regulator, Cro/CI family"	peg.487|peg.1877			
ABC transporter binding periplasmic protein ydcS	peg.488			
ABC transporter ATP-binding protein ydcT	peg.489			
YDDB protein	peg.491			
"conjugal transfer protein, putative"	peg.494			
DUF1874 domain-containing protein	peg.495			
"lipoprotein, NLP/P60 family"	peg.497			
regulator of the activity of phosphatase RapI	peg.502			
Luciferase-like monooxygenase (EC 1.14.-.-)	peg.504|peg.3404			
negative regulation of glyA transcription and KinB-dependent sporulation	peg.505|peg.506			
Isochorismatase (EC 3.3.2.1)	peg.507	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Siderophore_enterobactin_biosynthesis_and_ferric_enterbactin_transport"	Amino Acids and Derivatives|Virulence	rxn02177
ABC transporter permease protein yddR	peg.508			
ABC transporter binding periplasmic protein yddS	peg.509			
ThiJ/PfpI family	peg.511|peg.1882			
Cold shock protein CspC	peg.512	"Cold_shock,_CspA_family_of_proteins"	Stress Response	
CarD-like transcriptional regulator	peg.513			
YDZE protein	peg.514			
transcriptional regulator (AraC/XylS family)	peg.515|peg.701|peg.1909|peg.3018			
"Transporter, Drug/Metabolite Exporter family"	peg.516|peg.536|peg.3929			
"transcriptional regulator, GntR family"	peg.518|peg.906|peg.3049			
Tetracycline resistance protein	peg.519|peg.3998			
DUF1801 domain-containing protein	peg.521			
"Integral membrane protein, DUF6"	peg.523			
AMINOTRANSFERASE CLASS-I (EC 2.6.1.-)	peg.524|peg.948			
Cinnamoyl ester hydrolase	peg.527|peg.529			
putative NAD(P)H oxidoreductase	peg.530|peg.3606			
MFS permease	peg.531			
"Transcriptional regulator, TetR family"	peg.532|peg.686			
Arsenical resistance operon repressor	peg.533|peg.2583	Arsenic_resistance	Virulence	
Arsenic efflux pump protein	peg.534	Arsenic_resistance	Virulence	rxn05507|rxn05506
"acetyltransferase, GNAT family"	peg.535|peg.560|peg.577|peg.692|peg.1031|peg.1100|peg.1185|peg.1205|peg.1857|peg.2374|peg.2836|peg.2942|peg.3395|peg.3956|peg.3992|peg.4074|peg.4078			
Membrane protein ydfJ	peg.543			
carboxylesterase NA	peg.544			
putative transport protein	peg.545|peg.3869			
"transcriptional regulator, MerR family"	peg.546|peg.2703|peg.4086			
Cobalt-zinc-cadmium resistance protein	peg.547	Cobalt-zinc-cadmium_resistance	Virulence	
Dihydropteridine reductase (EC 1.5.1.34)	peg.548|peg.566|peg.783|peg.1959	Pterin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03975|rxn01314|rxn05088|rxn03976
Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-)	peg.548|peg.566|peg.783|peg.1959			rxn03975|rxn01314|rxn05088|rxn03976
Glyoxalase family protein	peg.549|peg.716|peg.824|peg.1289|peg.1961	Serine-glyoxylate_cycle	Carbohydrates	rxn01834
"Membrane protein, distant similarity to thiosulphate:quinone oxidoreductase DoxD"	peg.550			
YDFR protein	peg.553			
probable membrane protein yetF	peg.554|peg.714|peg.1308|peg.2771			
YDGC protein	peg.558			
ATP-binding transport protein	peg.561			
D-serine/D-alanine/glycine transporter	peg.562|peg.2712	Glycine_and_Serine_Utilization|Pyruvate_Alanine_Serine_Interconversions	Amino Acids and Derivatives|Carbohydrates	rxn05649|rxn05495|rxn05582|rxn05494
nuclease inhibitor	peg.563			
YDGG protein	peg.564			
Putative membrane protein	peg.565			
"transcriptional regulator, MarR family"	peg.567|peg.1317|peg.2176|peg.3292|peg.3651|peg.4077			
Bicyclomycin resistance protein	peg.568			
"Spore protein YdhD, not involved in spore germination"	peg.571			
Macrolide glycosyltransferase (EC 2.4.1.-)	peg.572|peg.1223|peg.1947			
membrane protein	peg.573|peg.1784|peg.3528			
Alkaline phosphatase (EC 3.1.3.1)	peg.574|peg.941			rxn02166|rxn00743|rxn03167
YdhG-like protein	peg.575			
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	peg.578|peg.3766	Purine_conversions	Nucleosides and Nucleotides	rxn01352
